issue_date,due_date,return_date,days_on_loan,overdue_status,book_id,book_title,genre,author,borrower_id,borrower_name,borrower_type,borrower_age_group,student_major,student_batch
2024-05-07,2024-05-23,2024-05-23,16.0,Returned On Time,20,The Pragmatic Programmer,Economics,Author T,10045,Student 45,Student,24-25,Physics,2022
2024-08-10,2024-08-26,2024-08-13,3.0,Returned On Time,4,Pride and Prejudice,Computer Science,Author D,10011,Student 11,Student,21-23,History,2022
2024-03-09,2024-03-27,2024-03-12,3.0,Returned On Time,6,Moby Dick,Computer Science,Author F,10029,Student 29,Student,24-25,Economics,2024
2024-06-07,2024-06-25,,,Overdue,31,Microeconomics,Fiction,Author E,10026,Student 26,Student,24-25,Electrical Engineering,2024
2024-02-06,2024-03-03,2024-02-17,11.0,Returned On Time,35,The Structure of Scientific Revolutions,Computer Science,Author I,10015,Student 15,Student,24-25,Computer Science,2024
2024-01-22,2024-01-30,2024-01-29,7.0,Returned On Time,41,Fahrenheit 451,Philosophy,Author O,10002,Student 2,Student,21-23,Physics,2022
2024-05-28,2024-06-17,2024-05-31,3.0,Returned On Time,35,The Structure of Scientific Revolutions,Computer Science,Author I,10006,Student 6,Student,21-23,History,2022
2023-09-13,2023-10-08,2023-09-30,17.0,Returned On Time,5,The Catcher in the Rye,Mathematics,Author E,10016,Student 16,Student,24-25,Mechanical Engineering,2024
2023-07-14,2023-07-24,2023-07-24,10.0,Returned On Time,34,Freakonomics,Computer Science,Author H,10018,Student 18,Student,21-23,Physics,2024
2023-03-24,2023-04-12,2023-04-12,19.0,Returned On Time,43,Frankenstein,Computer Science,Author Q,10030,Student 30,Student,18-20,History,2022
2024-10-12,2024-10-22,2024-10-22,10.0,Returned On Time,39,The Tipping Point,History,Author M,10011,Student 11,Student,21-23,History,2022
2023-07-18,2023-08-14,2023-08-08,21.0,Returned On Time,38,Outliers,History,Author L,10021,Student 21,Student,21-23,Computer Science,2024
2024-10-27,2024-11-07,2024-11-07,11.0,Returned On Time,19,Clean Code,Science,Author S,10012,Student 12,Student,18-20,Mathematics,2023
